,,JAZZ EVENTS MANAGEMENT
,,PAYMENTS LEDGER REPORT
,,Generated: May 15 2026
,
,,PAYMENT SUMMARY
METRIC,VALUE
Total Payments Recorded,20
Total Paid,"PHP 192,000.00"
Total Pending,"PHP 12,000.00"
Total Overdue,"PHP 6,000.00"
Total Partial,"PHP 10,000.00"
Total Refunded,"PHP 10,000.00"
Grand Total,"PHP 230,000.00"
,
,,PAYMENT STATUS DISTRIBUTION
STATUS,COUNT,AMOUNT (PHP),PERCENTAGE
PAID,12,"192,000.00",52.17%
PENDING,2,"12,000.00",17.39%
OVERDUE,2,"6,000.00",8.70%
PARTIAL,2,"10,000.00",13.04%
REFUNDED,2,"10,000.00",8.70%
TOTAL,20,"230,000.00",100.00%
,
,,PAYMENT METHOD BREAKDOWN
METHOD,COUNT,TOTAL AMOUNT (PHP)
BANK_TRANSFER,6,"88,000.00"
GCASH,6,"42,000.00"
CASH,4,"28,000.00"
PAYMAYA,2,"24,000.00"
CREDIT_CARD,2,"10,000.00"
,
,,DETAILED PAYMENT TRANSACTIONS
PAYMENT ID,EVENT ID,CLIENT ID,INVOICE NUMBER,AMOUNT (PHP),METHOD,STATUS,PAYMENT DATE,DUE DATE,REFERENCE,NOTES
1,22,82,INV-2026-0001,"15,000.00",BANK_TRANSFER,PAID,2026-04-10,2026-04-15,BT-88421039,First 50% downpayment for Golden Gala.
2,22,82,INV-2026-0002,"9,000.00",GCASH,PAID,2026-04-28,2026-04-30,GC-77302918,Second installment - venue and catering.
3,22,82,INV-2026-0003,"6,000.00",CASH,PENDING,,2026-05-20,,Final balance due before event day.
4,24,29,INV-2026-0004,"20,000.00",BANK_TRANSFER,PAID,2026-04-05,2026-04-08,BT-66109234,Downpayment 50% for wedding event.
5,24,29,INV-2026-0005,"12,000.00",PAYMAYA,PAID,2026-04-22,2026-04-25,PM-54321876,Second payment - decor and floral package.
6,24,29,INV-2026-0006,"5,000.00",GCASH,PARTIAL,2026-05-02,2026-05-05,GC-90123456,Partial payment received; balance is 3000.
7,24,29,INV-2026-0007,"3,000.00",CASH,OVERDUE,,2026-05-10,,Remaining balance overdue as of May 11.
8,22,82,INV-2026-0008,"5,000.00",CREDIT_CARD,REFUNDED,2026-03-20,2026-03-18,CC-11293847,Refunded - duplicate charge corrected.
9,24,29,INV-2026-0009,"2,000.00",GCASH,PAID,2026-03-12,2026-03-15,GC-20394857,Advance booking reservation fee.
10,22,82,INV-2026-0010,"4,000.00",BANK_TRANSFER,PAID,2026-03-25,2026-03-28,BT-39201748,Advance payment - AV equipment reservation.
21,22,82,INV-20260401-001,"15,000.00",BANK_TRANSFER,PAID,2026-04-10,2026-04-15,BT-88421039,First 50% downpayment for Golden Gala.
22,22,82,INV-20260420-002,"9,000.00",GCASH,PAID,2026-04-28,2026-04-30,GC-77302918,Second installment - venue and catering.
23,22,82,INV-20260501-003,"6,000.00",CASH,PENDING,,2026-05-20,,Final balance due before event day.
24,24,29,INV-20260328-004,"20,000.00",BANK_TRANSFER,PAID,2026-04-05,2026-04-08,BT-66109234,Downpayment 50% for wedding event.
25,24,29,INV-20260415-005,"12,000.00",PAYMAYA,PAID,2026-04-22,2026-04-25,PM-54321876,Second payment - decor and floral package.
26,24,29,INV-20260428-006,"5,000.00",GCASH,PARTIAL,2026-05-02,2026-05-05,GC-90123456,Partial payment received; balance is 3000.
27,24,29,INV-20260503-007,"3,000.00",CASH,OVERDUE,,2026-05-10,,Remaining balance overdue as of May 11.
28,22,82,INV-20260315-008,"5,000.00",CREDIT_CARD,REFUNDED,2026-03-20,2026-03-18,CC-11293847,Refunded - duplicate charge corrected.
29,24,29,INV-20260310-009,"2,000.00",GCASH,PAID,2026-03-12,2026-03-15,GC-20394857,Advance booking reservation fee.
30,22,82,INV-20260318-010,"4,000.00",BANK_TRANSFER,PAID,2026-03-25,2026-03-28,BT-39201748,Advance payment - AV equipment reservation.
,
This report is system-generated by the Jazz Events Management System. For internal use only.
